date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:52	183434/183434	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2013:59:53%20GMT	https://dogezillacoin.com/	C:/My%20Web%20Sites/doge/dogezillacoin.com/index.html	(from )
14:59:52	44/44	---M-Z	200	added ('OK')	text/plain	etag:W/%2218-5c8c2ac4580c0%22	https://dogezillacoin.com/robots.txt		(from )
14:59:53	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2017%20Nov%202022%2013:59:55%20GMT	https://dogezillacoin.com/xmlrpc.php	C:/My%20Web%20Sites/doge/dogezillacoin.com/xmlrpc.php	(from https://dogezillacoin.com/)
14:59:54	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5ed98bc3edca1;5c7ba4e8fef42	https://d77d94.a2cdn1.secureserver.net/wp-includes/css/classic-themes.min.css?ver=1&time=1668574072	C:/My%20Web%20Sites/doge/d77d94.a2cdn1.secureserver.net/wp-includes/css/classic-themes.min0f8e.css	(from https://dogezillacoin.com/)
14:59:54	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5d27f3e363954%22	https://d77d94.a2cdn1.secureserver.net/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/doge/d77d94.a2cdn1.secureserver.net/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://dogezillacoin.com/)
14:59:54	707/707	---M--	200	added ('OK')	application/rss+xml	etag:%22e0d9fd2a2d6e81b7b749cf12b49891e8%22	https://dogezillacoin.com/comments/feed/	C:/My%20Web%20Sites/doge/dogezillacoin.com/comments/feed/index.html	(from https://dogezillacoin.com/)
14:59:54	663/663	---M-Z	200	added ('OK')	text/css	etag:%22297-5ed8f2d3ff2e0-gzip%22	https://d77d94.a2cdn1.secureserver.net/wp-content/et-cache/2767/et-divi-dynamic-2767-late.css?ver=1668574078&time=1668574072	C:/My%20Web%20Sites/doge/d77d94.a2cdn1.secureserver.net/wp-content/et-cache/2767/et-divi-dynamic-2767-latee181.css	(from https://dogezillacoin.com/)
14:59:54	117687/117687	---M-Z	200	added ('OK')	text/css	etag:%221cbb7-5ed8f2d35159c-gzip%22	https://d77d94.a2cdn1.secureserver.net/wp-content/et-cache/2767/et-divi-dynamic-2767.css?ver=1668574078&time=1668574072	C:/My%20Web%20Sites/doge/d77d94.a2cdn1.secureserver.net/wp-content/et-cache/2767/et-divi-dynamic-2767e181.css	(from https://dogezillacoin.com/)
14:59:55	813/813	---M--	200	added ('OK')	application/rss+xml	etag:%22e0d9fd2a2d6e81b7b749cf12b49891e8%22	https://dogezillacoin.com/feed/	C:/My%20Web%20Sites/doge/dogezillacoin.com/feed/index.html	(from https://dogezillacoin.com/)
14:59:55	123773/123773	---MC-	200	added ('OK')	application/json	date:Thu,%2017%20Nov%202022%2013:59:56%20GMT	https://dogezillacoin.com/wp-json/wp/v2/pages/2767	C:/My%20Web%20Sites/doge/dogezillacoin.com/wp-json/wp/v2/pages/2767.json	(from https://dogezillacoin.com/)
14:59:55	816/816	---M-Z	200	added ('OK')	text/xml	date:Thu,%2017%20Nov%202022%2013:59:57%20GMT	https://dogezillacoin.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/doge/dogezillacoin.com/xmlrpc0db0.php	(from https://dogezillacoin.com/)
14:59:56	205776/205776	---MC-	200	added ('OK')	application/json	date:Thu,%2017%20Nov%202022%2013:59:56%20GMT	https://dogezillacoin.com/wp-json/	C:/My%20Web%20Sites/doge/dogezillacoin.com/wp-json/index.html	(from https://dogezillacoin.com/)
14:59:56	2334/2334	---M--	200	added ('OK')	application/json	date:Thu,%2017%20Nov%202022%2013:59:57%20GMT	https://dogezillacoin.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdogezillacoin.com%2F	C:/My%20Web%20Sites/doge/dogezillacoin.com/wp-json/oembed/1.0/embed94e3.json	(from https://dogezillacoin.com/)
14:59:56	2391/2391	---M-Z	200	added ('OK')	text/xml	date:Thu,%2017%20Nov%202022%2013:59:57%20GMT	https://dogezillacoin.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdogezillacoin.com%2F&format=xml	C:/My%20Web%20Sites/doge/dogezillacoin.com/wp-json/oembed/1.0/embed6dac	(from https://dogezillacoin.com/)
14:59:56	1905/1905	---M--	200	added ('OK')	image/png	etag:%2294f-5d283bda80329%22	https://d77d94.a2cdn1.secureserver.net/wp-content/uploads/2021/12/favicon-32x32-1.png	C:/My%20Web%20Sites/doge/d77d94.a2cdn1.secureserver.net/wp-content/uploads/2021/12/favicon-32x32-1.png	(from https://dogezillacoin.com/)
14:59:56	36095/36095	---M-Z	200	added ('OK')	text/css	etag:%228cff-5ed8f2d413718-gzip%22	https://d77d94.a2cdn1.secureserver.net/wp-content/et-cache/2767/et-core-unified-deferred-2767.min.css?ver=1668574078	C:/My%20Web%20Sites/doge/d77d94.a2cdn1.secureserver.net/wp-content/et-cache/2767/et-core-unified-deferred-2767.min5a8c.css	(from https://dogezillacoin.com/)
